"MasterUID
ROP3_AGWM CountryCode_PEID",CrossReference,AGWM CountryCode,WAGF Region,WAGF BLOCK,WAGF MEMBER,WAGF_UID,AGWM Country Name,AGWM Area,AGWM Region,IMB UID,FID,PEID,PGID,Status,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDe, Pop ,PopCls,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,ROL,Lang,LangFamily,ROR,Rlgn,RORdesc,Rlgn_AGWM Region,AGWM Religion Breakdown,ROR3,RlgnBs,ROR4,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,Location
,,1438,,Andean,,1438_Democratic Republic Of Congo,Democratic Republic Of Congo,Peninsular Asia,,,,,,,Guhayna,,,COD,Democratic Republic of the Congo,,Central Asia,CG,,,,,,,,,,,,,,,,ayh,Hadrami Arabic,Austronesian,BTH,Buddhism - Theravada,"Theravada Buddhism, the oldest surviving branch of Buddhism.",Ethnoreligion - Polytheism_Asia Pacific,,,,ODZ,Druze,103534,Guhayna,300171,Akhdam,C0153,Nilotic,A007,Latin-Caribbean Americans,,,,,,,,,1981,,,,,,,
,,2323,,North East Asia,,2323_Saudi Arabia,Saudi Arabia,Andean,,,,,,,"Arab, Hadhramout Yemeni",,,SAU,Saudi Arabia,,Caribbean,SA,,,,,,,,,,,,,,,,bgn,Western Balochi,Uralic,ODZ,Other - Druze,"Druze, a small Middle Eastern religious sect characterized by secret religious practices and close social cohesion. The Druze to not permit outsiders to convert to their religion.",Buddhism - Mahayana_Asia Pacific,,,,HOF,Folk Hinduism,103630,"Arab, Hadrami",306722,Yao (Pingdi),C0207,Tai,A002,East Asian Peoples,,,,,,,,,2021,,,,,,,
,,2316,,Central Asia,,2316_Jordan,Jordan,Southern Asia,,,,,,,Akhdam,,,JOR,Jordan,,Southern Europe,JO,,,,,,,,,,,,,,,,hsn,Xiang Chinese,Sign language,HOF,Hinduism - Folk,"folk Hinduism, characterized by local traditions and cults of local deities worshiped at the community level.",Islam - Sunni_Asia Pacific,,,,BLA,Tibetan Buddhism,117014,"Muhamasheen, Akhdam",306184,Nuer,C0040,"Bedouin, Arabian",A006,Jews,,,,,,,,,2017,,,,,,,
,,2324,,Mexico & Latin America,,2324_Syria,Syria,Northern Pacific Rim,,,,,,,"Baloch, Western",,,SYR,Syria,,Melanesia,SY,,,,,,,,,,,,,,,,nus,Nuer,Austro-Asiatic,BLA,Buddhism - Tibetan,"Tibetan Buddhism, a branch of Buddhism characteristic of Tibet and certain regions of the Himalayas.",Ethnoreligion_Eurasia,,,,MIS,Shia Imami Ismaili Islam,110770,"Baluchi, Western",302168,Dong (China),C0114,Kurd,,,,,,,,,,,2019,,,,,,,
,,2328,,The Balkans,,2328_Turkey,Turkey,Caribbean,,,,,,,Pingdi Yao,,,TUR,Turkiye,,Northern Europe,TU,,,,,,,,,,,,,,,,doc,Northern Dong,Hmong-Mien,MIS,Islam - Shia Imami Ismaili,"Ismailism, the second largest branch of Shia Islam.",Buddhism - Theravada_Asia Pacific,,,,EJF,Shinbutsu-Shugo,114275,Pingdi,300396,"Bedouin, Arabian",C0335,South Asian Jain,,,,,,,,,,,2015,,,,,,,
,,2310,,Oceania,,2310_Iran,Iran,Southeast Europe,,,,,,,Nuer,,,IRN,Iran,,Central America,IR,,,,,,,,,,,,,,,,und,Undetermined,Quechuan,EJF,Ethnoreligion - Shinbutso-shugo,"Shinbutsu-shugo, a syncretized mixture of Shinto and Buddhism that forms a unique Japanese Folk Religion  practiced by Japanese worldwide.",Ethnoreligion_Latin America Caribbean,,,,ESM,Shamanism,106990,"Nuer, Naath",302606,Gawamaa,C0198,Somali,,,,,,,,,,,2008,,,,,,,
,,2320,,N/A,,2320_Lebanon,Lebanon,Southern Europe,,,,,,,"Dong, Northern",,,LBN,Lebanon,,Australia and New Zealand,LE,,,,,,,,,,,,,,,,ars,Najdi Arabic,Mongolic,N,Unaffiliated,"unaffiliated, a category that includes atheists, agnostics, and others who do not identify with a particular world religion.",Islam - Folk_Eurasia,,,,EDA,Daoism,114042,"Dong, Northern",303828,Kawahia,C0184,Pygmy,,,,,,,,,,,1988,,,,,,,
,,2409,,North Europe,,2409_India,India,Pacific Oceania,,,,,,,Deaf Congolese,,,IND,India,,Polynesia,IN,,,,,,,,,,,,,,,,lki,Laki,Khoe-Kwadi,J,Judaism,"Judaism, a religion developed among the ancient Hebrews and characterized by belief in one transcendent God who has revealed himself to Abraham, Moses, and the Hebrew prophets and by a religious life in accordance with Scriptures and rabbinic traditions.",Islam - Folk_Asia Pacific,,,,NAT,Atheism,101193,"Arab, Bedouin",300420,"Arab, Syrian",C0035,"Bantu, Makua-Yao",,,,,,,,,,,2009,,,,,,,
,,1116,,Non-Spanish Caribbean,,1116_Somalia,Somalia,Northern Europe,,,,,,,"Arab, Bedouin",,,SOM,Somalia,,Western Europe,SO,,,,,,,,,,,,,,,,hin,Hindi,Mixed language,ESM,Ethnoreligion - Shamanism,"shamanism, a practice that involves reaching an altered state of consciousness in order to interact with the spirit world.",Ethnoreligion - Animism_Asia Pacific,,,,BOF,Folk Buddhism,103255,Gawamaa,300206,Alawite,C0275,"Bantu, Swahili",,,,,,,,,,,2018,,,,,,,
,,1128,,Brazil,,1128_Uganda,Uganda,Eurasia Northwest,,,,,,,Gawamaa,,,UGA,Uganda,,Micronesia,UG,,,,,,,,,,,,,,,,ymm,Maay,Creole,EDA,Ethnoreligion - Daoism,"Daoism, one of three major religions with historical roots in China, regarded as part of Chinese folk religion.",Other - Druze_Eurasia,,,,OZR,Zoroastrianism,104767,Kawahia,301011,Bederia,C0267,"Bantu, East-Coastal",,,,,,,,,,,2010,,,,,,,
,,1124,,Central America,,1124_Tanzania,Tanzania,Southern Cone,,,,,,,Kawahia,,,TZA,Tanzania,,Northern America,TZ,,,,,,,,,,,,,,,,kin,Kinyarwanda,Japonic,NAT,Unaffiliated - Athiesm,"atheism,  which is best described as the rejection of belief that any deities exist.",Hinduism - Folk_Eurasia,,,,OBH,Baha'i,116937,"Arab, Syrian Shia",304549,Laki,C0117,Li,,,,,,,,,,,1933,,,,,,,
,,1515,,Central Europe,,1515_Mozambique,Mozambique,Central America,,,,,,,Shiites,,,MOZ,Mozambique,,,MZ,,,,,,,,,,,,,,,,yao,Yao,Tungusic,BOF,Buddhism - Folk,"folk Buddhism, a syncretistic blend of traditional Buddhist practices with elements of magic and superstition.",Buddhism - Tibetan_Asia Pacific,,,,ESA,Samaritanism,114499,Alawite,300407,"Arab, Lebanese",C0061,Caucasus,,,,,,,,,,,1929,,,,,,,
,,4700,,West Europe,,4700_Russia,Russia,Central Europe,,,,,,,Alawites,,,RUS,Russian Federation,,,RS,,,,,,,,,,,,,,,,kmz,Khorasani Turkish,Eyak-Athabaskan,OZR,Other - Zoroastrianism,"Zoroastrianism, a religion and philosphy based on the teachings of the Persian prophet Zoroaster. Zoroastrians believe there is one universal and transcendent God, Ahura Mazda.",Ethnoreligion_Europe,,,,,,101188,Bederia,303306,Jain,C0311,OBC Hindu,,,,,,,,,,,2023,,,,,,,
,,1105,,South Cone,,1105_Eritrea,Eritrea,Western Europe,,,,,,,Bederia,,,ERI,Eritrea,,,ER,,,,,,,,,,,,,,,,vmk,Makhuwa-Shirima,Barbacoan,U,Unknown,unknown.,Islam - Shia Imami Ismaili_Asia Pacific,,,,,,114988,Laki,301956,Dar Hamid,C0343,Other Backward Class,,,,,,,,,,,1994,,,,,,,
,,1332,,,,1332_Mali,Mali,,,,,,,,Laki,,,MLI,Mali,,,ML,,,,,,,,,,,,,,,,swh,Swahili,Maipurean,OBH,Other - Baha'i,"Baha'I, a universalist religion that stresses the essential unity of all faiths.",Islam - Sunni_Europe,,,,,,116090,"Arab, Lebanese Sunni",304876,Rahanweyn / Digil-Rahawiin,C0068,Ethio-Semitic,,,,,,,,,,,2006,,,,,,,
,,3524,,,,3524_Indonesia,Indonesia,,,,,,,,"Arab, Lebanese Sunni",,,IDN,Indonesia,,,ID,,,,,,,,,,,,,,,,mwe,Mwera (Chimwera),Tucanoan,S,Sikhism,"Sikhism, a monotheistic religion founded in the Punjab region of India in the 15th century. Sikhs value truth as the highest ideal and pursue truthful living, rejecting the Indian caste system in favor of the equality of all humans.",Ethnoreligion - Shinbutso-shugo_Asia Pacific,,,,,,116461,"Jain, Hindi",302453,Fumbira,C0278,Domari,,,,,,,,,,,1997,,,,,,,
,,3415,,,,3415_Myanmar,Myanmar,,,,,,,,Jain (Hindi),,,MMR,Myanmar,,,BM,,,,,,,,,,,,,,,,ziw,Zigula,Cariban,ESA,Ethnoreligion - Samaritanism,"Samaritanism, an Abrahamic religion closely related to Judaism.",Unaffiliated_Europe,,,,,,105688,"Arab, Lebanese",302995,Hasania,C0298,Badhai,,,,,,,,,,,2012,,,,,,,
,,1350,,,,1350_Togo,Togo,,,,,,,,"Arab, Lebanese Shiite",,,TGO,Togo,,,TO,,,,,,,,,,,,,,,,lic,Hlai,Unclassified,,,,Judaism_Eurasia,,,,,,102447,Dar Hamid,308950,Yao (Bantu),C0288,Namasudra,,,,,,,,,,,1948,,,,,,,
,,1302,,,,1302_Benin,Benin,,,,,,,,Dar Hamid,,,BEN,Benin,,,BN,,,,,,,,,,,,,,,,ava,Avar,Language isolate,,,,Ethnoreligion - Shamanism_Eurasia,,,,,,105958,Rahanweyn,308375,Turk,C0155,Nosu,,,,,,,,,,,1995,,,,,,,
,,2302,,,,2302_Algeria,Algeria,,,,,,,,Digil-Rahawiin,,,DZA,Algeria,,,AG,,,,,,,,,,,,,,,,mgh,Makhuwa-Meetto,Trans-New Guinea,,,,Buddhism - Tibetan_Eurasia,,,,,,114575,Fumbira,304983,Makhuwa,C0260,"Bantu, Central-Lakes",,,,,,,,,,,1996,,,,,,,
,,2308,,,,2308_Egypt,Egypt,,,,,,,,Fumbira,,,EGY,Egypt,,,EG,,,,,,,,,,,,,,,,ben,Bengali,Bororoan,,,,Ethnoreligion - Daoism_Asia Pacific,,,,,,103728,Hasania,307474,Shirazi,C0229,Other Tibeto-Burmese,,,,,,,,,,,1938,,,,,,,
,,1428,,,,1428_Nigeria,Nigeria,,,,,,,,Hasania,,,NGA,Nigeria,,,NI,,,,,,,,,,,,,,,,tig,Tigré,Harákmbut,,,,Ethnoreligion - Animism_Latin America Caribbean,,,,,,110980,Yao,305761,Mwera,C0041,"Bedouin, Saharan",,,,,,,,,,,2002,,,,,,,
,,1412,,,,1412_Chad,Chad,,,,,,,,Yao,,,TCD,Chad,,,CD,,,,,,,,,,,,,,,,psc,Iranian Sign Language,Chibchan,,,,Judaism_Europe,,,,,,104964,Khorasani Turk,309112,Zigwa  / Zigua,C0100,Jat,,,,,,,,,,,2016,,,,,,,
,,2301,,,,2301_Afghanistan,Afghanistan,,,,,,,,Khorasani Turk,,,AFG,Afghanistan,,,AF,,,,,,,,,,,,,,,,rmt,Domari,Tupian,,,,Unaffiliated - Athiesm_Asia Pacific,,,,,,106090,Makhuwa-Shirima,304698,Li,C0293,Bania,,,,,,,,,,,1905,,,,,,,
,,2305,,,,2305_Qatar,Qatar,,,,,,,,Makhuwa-Shirima,,,ESH,Western Sahara,,,WI,,,,,,,,,,,,,,,,hne,Chhattisgarhi,Karajá,,,,Ethnoreligion - Shamanism_Asia Pacific,,,,,,108953,Shirazi,300579,Avar,C0321,OBC Muslim,,,,,,,,,,,2014,,,,,,,
,,1224,,,,1224_South Africa,South Africa,,,,,,,,Shirazi,,,QAT,Qatar,,,QA,,,,,,,,,,,,,,,,asm,Assamese,Guajiboan,,,,Judaism_Latin America Caribbean,,,,,,106984,"Mwera, Chimwera",307720,Sudra Das,C0056,Bugi-Makassar of Sulawesi,,,,,,,,,,,2003,,,,,,,
,,1602,,,,1602_Comoros,Comoros,,,,,,,,Mwera,,,ZAF,South Africa,,,SF,,,,,,,,,,,,,,,,iii,Nuosu,Yaguan,,,,Islam - Shia Imami Ismaili_Eurasia,,,,,,111177,Zigwa,307775,Sutradhar,C0265,"Bantu, Central-Tanzania",,,,,,,,,,,1956,,,,,,,
,,3452,,,,3452_Thailand,Thailand,,,,,,,,Zigua,,,COM,Comoros,,,CN,,,,,,,,,,,,,,,,kuj,Kuria,Panoan,,,,Islam - Shia_Asia Pacific,,,,,,114167,"Li, Ha",308158,Tigre,C0073,Finno-Ugric,,,,,,,,,,,1821,,,,,,,
,,1334,,,,1334_Mauritania,Mauritania,,,,,,,,"Li, Ha",,,THA,Thailand,,,TH,,,,,,,,,,,,,,,,ywt,Central Lalo,Witotoan,,,,Buddhism - Folk_Asia Pacific,,,,,,100633,Avar,302157,Domari / Dom,C0087,Gur,,,,,,,,,,,1922,,,,,,,
,,4416,,,,4416_Peru,Peru,,,,,,,,"Avar, Kunsakh",,,MRT,Mauritania,,,MR,,,,,,,,,,,,,,,,tel,Telugu,Jean,,,,Judaism_Africa,,,,,,106087,Makhuwa-Meetto,300655,Badhai / Barhai,C0203,Sudanic,,,,,,,,,,,1902,,,,,,,
,,2416,,,,2416_Nepal,Nepal,,,,,,,,Makua,,,PER,Peru,,,PE,,,,,,,,,,,,,,,,adh,Jopadhola,Muran,,,,Other - Zoroastrianism_Eurasia,,,,,,118688,Sudra Das,305843,Namasudra,C0310,Nai,,,,,,,,,,,1977,,,,,,,
,,3540,,,,3540_Malaysia,Malaysia,,,,,,,,Sudra Das,,,NPL,Nepal,,,NP,,,,,,,,,,,,,,,,tcy,Tulu,Andamanese,,,,Buddhism - Folk_Eurasia,,,,,,113709,"Sutradhar, Hindu",306171,Nosu,C0295,Nair,,,,,,,,,,,1985,,,,,,,
,,1220,,,,1220_Namibia,Namibia,,,,,,,,Sutradhar,,,MYS,Malaysia,,,MY,,,,,,,,,,,,,,,,snd,Sindhi,Puinavean,,,,Hinduism_Africa,,,,,,110051,Tigre,307054,Rufaa,C0318,Ansari,,,,,,,,,,,1998,,,,,,,
,,3209,,,,"3209_Korea, North","Korea, North",,,,,,,,Tigre,,,NAM,Namibia,,,WA,,,,,,,,,,,,,,,,khb,Lü,Arauan,,,,Judaism_Asia Pacific,,,,,,102682,Domari,304414,Kuria,C0063,Kanuri-Saharan,,,,,,,,,,,1978,,,,,,,
,,1108,,,,1108_Kenya,Kenya,,,,,,,,Deaf Iranian,,,PRK,North Korea,,,KN,,,,,,,,,,,,,,,,scl,Shina,Nambikwara,,,,Unknown_Latin America Caribbean,,,,,,117031,"Badhai, Chhattisgarhi",304563,Laluo,C0289,Other Dalit,,,,,,,,,,,2007,,,,,,,
,,2832,,,,2832_Kazakhstan,Kazakhstan,,,,,,,,Domari,,,KEN,Kenya,,,KE,,,,,,,,,,,,,,,,jit,Jita,Zamucoan,,,,Buddhism - Theravada_Eurasia,,,,,,118820,"Namasudra, Assamese",300152,Aiyarakulu,C0084,Guera-Naba of Chad,,,,,,,,,,,1982,,,,,,,
,,1232,,,,1232_Zimbabwe,Zimbabwe,,,,,,,,Badhai (Chhattisgarhi),,,KAZ,Kazakhstan,,,KZ,,,,,,,,,,,,,,,,kmr,Northern Kurdish,Yanomaman,,,,Unaffiliated - Athiesm_Africa,,,,,,114266,"Nosu, Yinuo",306404,Padhola,C0138,Miao / Hmong,,,,,,,,,,,1993,,,,,,,
,,3214,,,,3214_Mongolia,Mongolia,,,,,,,,Namasudra (Assamese),,,ZWE,Zimbabwe,,,ZI,,,,,,,,,,,,,,,,rob,Tae’,,,,,Unknown_Africa,,,,,,108432,Rufaa,309327,"Bedouin, Sanusi",C0017,"Arab, Maghreb",,,,,,,,,,,1822,,,,,,,
,,3420,,,,3420_Vietnam,Vietnam,,,,,,,,"Nosu, Yinuo",,,MNG,Mongolia,,,MG,,,,,,,,,,,,,,,,rui,Rufiji,,,,,Unknown_Asia Pacific,,,,,,105455,Kuria,300097,Agasa,C0028,Azerbaijani,,,,,,,,,,,1914,,,,,,,
,,2438,,,,2438_Sri Lanka,Sri Lanka,,,,,,,,Rufaa,,,VNM,Vietnam,,,VM,,,,,,,,,,,,,,,,tam,Tamil,,,,,Ethnoreligion - Animism_Eurasia,,,,,,114155,"Laluo, Mishaba",303344,Jat,C0013,"Arab, Arabian",,,,,,,,,,,1983,,,,,,,
,,3405,,,,3405_Cambodia,Cambodia,,,,,,,,Kuria,,,LKA,Sri Lanka,,,CE,,,,,,,,,,,,,,,,mhr,Meadow Mari,,,,,Other - Baha'i_Eurasia,,,,,,114265,"Nosu, Xiaoliangshan",300836,Bania,C0173,Other Sub-Saharan African,,,,,,,,,,,1987,,,,,,,
,,1404,,,,1404_Cameroon,Cameroon,,,,,,,,"Laluo, Mishaba",,,KHM,Cambodia,,,CB,,,,,,,,,,,,,,,,kan,Kannada,,,,,Sikhism_Eurasia,,,,,,111391,Aiyarakulu,307851,Tai Lu,C0195,"Slav, Southern",,,,,,,,,,,2004,,,,,,,
,,1320,,,,1320_Guinea (Conakry),Guinea (Conakry),,,,,,,,"Nosu, Xiaoliangshan",,,CMR,Cameroon,,,CM,,,,,,,,,,,,,,,,ysm,Myanmar Sign Language,,,,,Unknown_Europe,,,,,,107737,Padhola,308983,Yazeed,C0147,Mon-Khmer,,,,,,,,,,,2000,,,,,,,
,,2303,,,,2303_Bahrain,Bahrain,,,,,,,,Aiyarakulu,,,GIN,Guinea,,,GV,,,,,,,,,,,,,,,,kdh,Tem,,,,,Buddhism - Mahayana_Eurasia,,,,,,108686,"Bedouin, Sanusi",307470,Shina,C0281,Agau,,,,,,,,,,,1846,,,,,,,
,,2314,,,,2314_Israel,Israel,,,,,,,,Padhola,,,BHR,Bahrain,,,BA,,,,,,,,,,,,,,,,ndp,Kebu,,,,,Ethnoreligion - Samaritanism_Eurasia,,,,,,117728,Agasa,303402,Jita,C0026,Atlantic-Wolof,,,,,,,,,,,1959,,,,,,,
,,1502,,,,1502_Angola,Angola,,,,,,,,"Bedouin, Sanusi",,,ISR,Israel,,,IS,,,,,,,,,,,,,,,,guj,Gujarati,,,,,Unknown_Eurasia,,,,,,112998,"Jat, Muslim",304412,Kurd,C0179,Persian,,,,,,,,,,,,,,,,,,
,,3410,,,,3410_Laos,Laos,,,,,,,,Moor,,,AGO,Angola,,,AO,,,,,,,,,,,,,,,,pil,Yom,,,,,,,,,,,116378,"Bania Agarwal, Telugu",304864,Luwu,C0005,Afar-Saho,,,,,,,,,,,,,,,,,,
,,4208,,,,4208_Cuba,Cuba,,,,,,,,Agasa,,,LAO,Laos,,,LA,,,,,,,,,,,,,,,,asp,Algerian Sign Language,,,,,,,,,,,114183,Tai Lu,307020,Rizeigat,C0200,Soninke,,,,,,,,,,,,,,,,,,
,,1324,,,,1324_Cote D'Ivoire,Cote D'Ivoire,,,,,,,,Jat Muslim,,,CUB,Cuba,,,CU,,,,,,,,,,,,,,,,yig,Wusa Nasu,,,,,,,,,,,111015,Yazeed,307055,Rufiji,C0185,Quechua,,,,,,,,,,,,,,,,,,
,,1228,,,,1228_Zambia,Zambia,,,,,,,,"Bania, Agarwal (Telegu)",,,CIV,Côte d’Ivoire,,,IV,,,,,,,,,,,,,,,,mal,Malayalam,,,,,,,,,,,108948,Shina,308246,Tondaman / Tondman,C0043,Bengali,,,,,,,,,,,,,,,,,,
,,2820,,,,2820_Azerbaijan,Azerbaijan,,,,,,,,Tai Lu,,,ZMB,Zambia,,,ZA,,,,,,,,,,,,,,,,swv,Shekhawati,,,,,,,,,,,104287,Jita,305209,Mari (Russia),C0003,Adamawa-Ubangi,,,,,,,,,,,,,,,,,,
