OBJECTID,PEID,PGID,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDesc,Pop,PopCls,EvngPct,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,LPI,LPIname,LPIdesc,ROL,Lang,LangFamily,LangClass,LangSpkrs,ROR,Rlgn,RlgnAdher,RORdesc,RlgnBs,ROR4,ROR3,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,PeopleSearch,UpdatedDate
,,PG014849,Chonyi,Ribe Mijikenda,客家人,ZAF,South Africa,,Southern Asia,SF,,,an ethnolinguistic subgroup of Han Chinese indigenous to China's Fujian province and the island of Taiwan,concentrated in Taikoo Shing and Hung Hom,224000,"10,000,000+",11.79,50% or Greater but Less than 75%,,,,,,,,,,,,yue,"Chinese, Yue",Japonic,"Indo-European, Germanic, West, English",73,HOF,Hinduism - Folk,40,"folk Hinduism, characterized by local traditions and cults of local deities worshiped at the community level.",,HOF,,Folk Hinduism,102185,Chonyi,301766,Chonyi,C0012,Anglo-Celt,A010,Pacific Islanders,,,,,,,,,2010,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Samson Njenga",https://joshuaproject.net/assets/media/profiles/photos/p11648.jpg,,,-3.883616496,39.68236897,Ribe Mijikenda of Kenya (PG014849),2025-02-11T03:38:23.472+00:00
,,PG014775,Kambe,Chonyi Mijikenda,"Nepalese, Hong Kong Nepalese",GIN,Guinea,,Western Asia,GV,,,"the world’s largest ethnic group, comprising over 90% of China’s population and 18% globally. Their roots trace back to the Huaxia tribes of the Yellow River Valley, with a continuous civilization spanning 4,000+ years","concentrated in Yau Ma Tei, Tsim Sha Tsui, and Sham Shui Po neighborhoods",35000,,13.8,,,,,,,,,,,,,vie,Vietnamese,Koreanic,"Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Persian",50,COR,Christianity - Eastern Orthodox,69,"Orthodox Christianity, a branch of Christianity that includes Copts, the Assyrian Church of the East, Eastern Orthodox Churches and Oriental Orthodox Churches.",,COR,,Eastern Orthodoxy,115444,Kambe,303588,Kambe (Giryama),C0211,Tajik,A006,Jewish Peoples,,,,,,,,,2024,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Karolien Taverniers - Flickr <a href=""https://flickr.com/photos/emotionblogster/13815999/"">Karolien Taverniers - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p12057.jpg,,,-3.67622891,39.81531774,Chonyi Mijikenda of Kenya (PG014775),2025-02-10T08:49:45.249+00:00
,,PG014802,Duruma,Kambe Mijikenda,"Nihonjin, 日本人, Nipponjin",ESP,Spain,,Eastern Europe,SP,,,an ethnic community of Irish immigrants with a rich history that dates back ot the early colonial era,"Toronto, Ottawa, Montreal, Vancouver",623000,,12.04,,,,,,,,,,,,,nan,"Chinese, Min Nan",Hmong-Mien,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, G, Swahili (G.42)",25,N,Unaffiliated,58,"unaffiliated, a category that includes atheists, agnostics, and others who do not identify with a particular world religion.",,MOF,,Folk Islam,102775,Duruma,302241,Duruma,C0265,"Bantu, Central-Tanzania",A004,Horn of Africa,,,,,,,,,2015,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: inmediahk - Flickr <a href=""https://www.flickr.com/photos/inmediahk/45312440031"">inmediahk - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p13185.jpg,,,-3.918478164,39.7398183,Kambe Mijikenda of Kenya (PG014802),2025-02-11T03:42:01.638+00:00
,,PG014781,Kauma,Duruma Mijikenda,South Asian Muslims,MMR,Myanmar,,Northern Europe,BM,,,a diaspora community of Tajiks in Germany,isolated communities reported in Toronto area,80000,,11.77,,,,,,,,,,,,,cmn,"Chinese, Mandarin",Dravidian,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, Oïl, French",85,MOF,Islam - Folk,65,"folk Islam, a syncretistic belief system that blends traditional elements of Islam with superstitious practices such as warding off spirits with incantations and magic amulets, and reciting verses of the Qur'an to bring about miraculous healings.",,CFC,,Folk Catholicism,104754,Kauma,303818,Kauma,C0076,French,A015,Turkic Peoples,,,,,,,,,2016,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://www.asiaharvest.org"">Operation China, Asia Harvest</a> Used with permission",https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg,,,-4.16911739,39.20975421,Duruma Mijikenda of Kenya (PG014781),2025-07-24T17:20:28.516+00:00
,,PG014804,"Han Chinese, Cantonese",Kauma Mijikenda,Macedonian Canadians,BGD,Bangladesh,,Central Asia,BG,,,"a diaspora people of Tanzanian nationality, undifferentiated by ethnicity",Falkland Islands,660000,,5.45,,,,,,,,,,,,,eng,English,Nakh-Daghestanian,"Afro-Asiatic, Semitic, Central, South, Arabic",99,CFC,Christianity - Folk Catholicism,54,"folk Catholicism, characterized by local expressions of faith that combine Catholic traditions with local animistic rituals, resulting in syncretized forms of Catholicism that diverge from official church doctrine and practice. ",,NAT,,Atheism,103701,"Han Chinese, Cantonese",301734,Chinese,C0017,"Arab, Maghreb",A007,Latin-Caribbean Americans,,,,,,,,,2013,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://linkupafrica.com/peoples/rim/giriama"">Link Up Africa</a>",https://joshuaproject.net/assets/media/profiles/photos/p11344.jpg,,,-3.664888196,39.81394097,Kauma Mijikenda of Kenya (PG014804),2025-01-30T01:09:56.126+00:00
,,PG050584,Macanese,Han Chinese (Cantonese),"Falklanders, Kelpers",MOZ,Mozambique,,Caribbean,MZ,,,"a people of French ancestry and citizenship whose identity includes influences from Basque, Breton, and Norman cultures",widespread,8800,,3,,,,,,,,,,,,,tgk,Tajik,Turkic,"Kra-Dai, Kam-Tai, Tai, Southwestern",87,NAT,Unaffiliated - Atheism,93,"atheism, which is best described as the rejection of belief that any deities exist.",,OJA,,Jainism,105966,Macanese,304884,Macanese,C0215,Thai,A009,North American Peoples,,,,,,,,,2011,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/sisters-irish-young-redheads-4785866/"">Pretty Sleepy Art - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p11904.jpg,,,22.19889025,113.5443673,Han Chinese (Cantonese) of Macao (PG050584),2024-07-29T11:33:36.35+00:00
,,PG050585,Vietnamese,Macanese,"Hong Konger, 香港人",MUS,Mauritius,,Central America,MP,,,an ethnolinguistic community of Arabs whose identity is rooted in a common shared Moroccan history and culture,concentrated in the Tsim Sha Tsui area of Kowloon,199000,,17,,,,,,,,,,,,,swh,Swahili,Saharan,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Eastern, Eastern Pahari",88,S,Sikhism,99,"Sikhism, a monotheistic religion founded in the Punjab region of India in the 15th century. Sikhs value truth as the highest ideal and pursue truthful living, rejecting the Indian caste system in favor of the equality of all humans.",,EAN,,Animism,105018,Kinh,304033,Vietnamese (Kinh),C0150,Nepali-Pahari,,,,,,,,,,,1997,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Masters View / Howard Erickson",https://joshuaproject.net/assets/media/profiles/photos/p12256.jpg,,,22.15925625,113.5548196,Macanese of Macao (PG050585),2024-08-06T15:48:42.869+00:00
,,PG050588,"Han Chinese, Min Nan",Vietnamese,"Hanguk-in, 한국인, Hanminjok, 한민족",IND,India,,Middle Africa,IN,,,a Han Chinese subgroup whose ancestral homeland is the Hakka-speaking region of southwest China,concentrated in North Point on Hong Kong Island,18500,,1.36,,,,,,,,,,,,,fra,French,Khoe-Kwadi,Japonic,65,H,Hinduism,96,"Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.",,MSH,,Shia Islam,102140,"Han Chinese, Min Nan",302710,Giryama (Giriama),C0099,Japanese,,,,,,,,,,,2012,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/bread-marrakesh-food-morocco-1166272/"">Monica Volpin - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p15201.jpg,,,22.2802154,114.2276079,Filipinos of Hong Kong (PG050588),2025-01-30T19:54:56.294+00:00
,,PG050595,"Han Chinese, Mandarin",Han Chinese (Min Nan),Shanghainese,PSE,Palestine,,Australia and New Zealand,XP,,,an ethnolinguistic community indigenous to Thailand,"isolated communities reported in Louisville, Kentucky; Beaumont, and Tyler Texas",419000,,7.02,,,,,,,,,,,,,ary,"Arabic, Moroccan",Mande,"Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Hindustani",74,OJA,Other - Jainism,81,"Jainism, an Indian religion that promotes non-violence towards all living beings and emphasizes the necessity of self-effort to move the soul towards divine consciousness and liberation.",,EPO,,Polytheism,103686,"Han Chinese, Mandarin",303235,Irish,C0224,Urdu,,,,,,,,,,,1954,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://www.asiaharvest.org"">Asia Harvest</a> Used with permission",https://joshuaproject.net/assets/media/profiles/photos/p11234.jpg,,,22.13204999,113.5614572,Vietnamese of Macao (PG050595),2025-02-07T06:52:40.091+00:00
,,PG050604,Giriama,Han Chinese (Mandarin),Kenyan Americans,PAK,Pakistan,,Melanesia,PK,,,an ethnically diverse Nepali-speaking community indigenous to Nepal,Ontario: Kitchener-Waterloo area,163000,,5,,,,,,,,,,,,,hak,"Chinese, Hakka",Abkhaz-Adyge,"Indo-European, Balto-Slavic, Slavic, South, Eastern",84,EAN,Ethnoreligion - Animism,94,"animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.",,BLA,,Tibetan Buddhism,103386,Giriama,307868,Tajik,C0195,"Slav, Southern",,,,,,,,,,,2014,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 Dragon Images - Shutterstock Used with permission",https://joshuaproject.net/assets/media/profiles/photos/p13819.jpg,,,22.34822433,114.1989357,Han Chinese (Min Nan) of Hong Kong (PG050604),2025-02-11T03:40:13.032+00:00
,,PG050605,Irish,Giriama Mijikenda,Pennsylvania Dutch,GRC,Greece,,Polynesia,GR,,,an ethnolinguistic community indigenous to the Japanese archipelago,Western Cape: concentrated in the Bo-Kaap or Malay quarter of Cape Town,1125000,,47.15,,,,,,,,,,,,,tha,Thai,Nilotic,"Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Franconian",55,J,Judaism,91,"Judaism, a religion developed among the ancient Hebrews and characterized by belief in one transcendent God who has revealed himself to Abraham, Moses, and the Hebrew prophets and by a religious life in accordance with Scriptures and rabbinic traditions.",,EJF,,Shinbutsu-Shugo,104068,"Irish, English Speaking",309397,Tanzanian,C0079,Germanic,,,,,,,,,,,1994,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/person-face-people-portrait-smile-5039573/"">Deepak Meena - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p12054.jpg,,,22.28665731,114.2149097,Han Chinese (Mandarin) of Hong Kong (PG050605),2025-02-11T03:40:25.208+00:00
,,PG014790,Tajik,Irish,"Cape Muslim, Kaapse Maleiers",NPL,Nepal,,Micronesia,NP,,,an Urdu-speaking Muslim community composed of individuals from Pakistan and India,"Boké region: Boffa prefecture, Tougnifil subprefecture; Boké prefecture, Port-Kamsar subprefecture, Nunez river south bank",510000,,1.98,,,,,,,,,,,,,npi,Nepali,Bookkeeping,Koreanic,53,MSH,Islam - Shia,36,"Shia Islam, one of two major denominations of Islam. The followers of Shia Islam are called 'Shi'as' or 'Shiites'.",,OZR,,Zoroastrianism,109733,Tajik,302445,French,C0111,Korean,,,,,,,,,,,2019,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: travelwayoflife - Flickr <a href=""https://flickr.com/photos/61664791@N05/8052522076"">travelwayoflife - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.0/"">CC BY-SA 2.0</a>",https://joshuaproject.net/assets/media/profiles/photos/p12700.jpg,,,-3.399521196,39.7116294,Giriama Mijikenda of Kenya (PG014790),2025-10-28T19:31:13.928+00:00
,,PG043413,Tanzanian,Tajiks,"Tchitem, Sitemuú, Rio Pongo Baga",LKA,Sri Lanka,,,CE,,,Canadian citizens of ethnic Macedonian descent residing in Canada,"more than half live in cities, mainly in Winnepeg",25000,,1.82,,,,,,,,,,,,,jpn,Japanese,Kresh-Aja,"Indo-European, Germanic, West, High German, German, Middle German, West Middle German",35,EPO,Ethnoreligion - Polytheism,51,"polytheism, a belief in multiple deities that are often arranged as pantheons of gods or goddeses.",,MIS,,Shia Imami Ismaili Islam,109835,Tanzanian,300412,"Arab, Moroccan",C0248,"Sub-Saharan African, generic",,,,,,,,,,,2008,"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/fashion-asian-japanese-chinese-4257900/"">N-Y-C - Pixabay</a>",https://joshuaproject.net/assets/media/profiles/photos/p11277.jpg,,,43.6488,-79.3777,Irish of Canada (PG043413),2025-02-11T03:41:09.427+00:00
