OBJECTID,ROP2,PeopleCluster,Description,Citation,Source,EditorComments,ROP1,AddDate,EditDate,Status
11,C0095,Igbo,"The Igbo, also known as Ibo, are one of the three dominant ethnic groups of Nigeria, concentrated in the southeastern states of Anambra and Imo. They are also found across the border in southern Cameroon. The Igbo have inhabited their homeland in Nigeria for more than a thousand years. Several related subgroups are recognized as distinct people groups within the Igbo people cluster.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 234",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
12,C0096,Ijaw,"The Ijaw people live in Rivers and Bendel states in Nigeria. Much of their land is located in the Niger Delta and consists of mangrove swamps and farmland. Since the region is crisscrossed by many creeks and rivers, fishing has always been important to the Ijaws. Ijaw tradition has them moving from the east and north to their present homeland in the fifteenth century, but their language does not resemble other Nigerian languages in the region. The Ijaw people cluster encompasses a number of Ijaw subgroups, including the Izon, Kalabari, Okrika, and Ibani.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 236",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
13,C0099,Japanese,"The Japanese are a unique blending of several racial streams that converged on the Japanese archipelago since 500 BC. Their civilization owes much to the influence of the Chinese, from whom they learned to write in the 5th Century. In addition to the large Japanese ethnic majority, this people cluster includes a number of smaller people groups whose origins lie in one or more of the 6,852 islands that comprise the archipelago.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
14,C0102,Jews,"The Jews are an ethnoreligious group that is widely scattered and linguistically diverse. Controversial throughout their long history, they have been victims of discrimination, persecution, and genocide. A majority of Jews today reside either in the United States or in Israel.","-- Patrick Johnstone, The Future of the Global Church, p. 90",Patrick Johnstone,None,A006,2003-10-30T00:00:00+00:00,2012-08-22T00:00:00+00:00,1
15,C0108,Kazakh,"The Kazakhs are a Central Asian, Turkic-speaking people whose vast homeland, Kazakhstan, is located between the Caspian Sea, the Urals, and the Tien Shan Mountains in northwestern China. Islam was introduced to the ancestors of modern Kazakhs during the 8th century when Arabs first entered Central Asia, and Sunni Islam predominates today. Warfare between various tribes characterized much of their history but sometime around the beginning of the 16th century a unified Kazakh (Qazaq) identity emerged. While the influence of tribalism continues to fade, it is still common for Kazakhs to identify themselves to other Kazakhs by their native tribe.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 354-367.",Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,2012-08-29T00:00:00+00:00,1
16,C0110,Kyrgyz,"The Kyrgyz are a Central Asian, Turkic-speaking people whose homeland, the Republic of Kyrgyzstan, is located at the western end of the Tien Shan Mountain Range of northwestern China. Kyrgyzstan is bordered in the north by Kazakhstan and on the south by Uzbekistan and Tajikistan. Etymology of the word ""Kyrgyz"" suggests they descended from forty tribes. As with other Central Asian peoples, Sunni Islam is the majority religion.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 416-423.",Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,2012-08-29T00:00:00+00:00,1
17,C0111,Korean,"The Koreans have a long history, much of it relating to being a smaller nation fiercely trying to maintain its independence between two superpowers, China and Japan. The latter occupied Korea from 1910 to 1945. At Stalin's insistence, Korea was divided after the Second World War, which led to the destructive Korean War and continuing tensions between North and South Korea. Despite the significant political division, Koreans form a single ethnic group.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
18,C0112,Kru,Kru refers to a linguistic group found today in southwest Côte d'Ivoire and southern Liberia. The people groups that comprise the Kru people cluster tend to live along the Atlantic coast where they make their living as fishermen and subsistence farmers. Christianity and traditional animist beliefs are widely practiced among these peoples.,"-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 308",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-08-29T00:00:00+00:00,1
19,C0114,Kurd,"The Kurds are a mountain people with a history extending back many millennia. They are the descendants of many different peoples, but notably the Hurrians, Medes and Scythians. The geographical distribution of their languages and widely differing dialects reflects their complexity. There are four main languages, but dozens of recognized ethnic subgroups.","-- Patrick Johnstone, The Future of the Global Church, p. 204.",Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
20,C0126,Malinke,"The Malinke, also called Maninka, Mandinko, or Mandingo, are a Manding-speaking people residing today in southern Ghana, northwestern Ivory Coast, Sierra Leone, northern Liberia, Gambia, Guinea, Senegal, and the region of Manden on the border of Mali and Guinea-Bissau. They are primarily farmers who trace their origins to the thirteenth-century Mali Empire. Most Malinke are Sunni Muslims, although there are sizable Christian and animist minorities.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 366-367.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-06T00:00:00+00:00,1
21,C0127,Malinke-Bambara,"The Bambara, also known as Bamanakan, are a large Manding-speaking ethnic group found throughout Mali, the northern areas of Ivory Coast and parts of Guinea-Bissau. They are the largest ethnic group in Mali. The Malinke-Bambara people cluster encompasses the Bambara and several related subgroups speaking Bamanankan or a related Manding language.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 63-64",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-06T00:00:00+00:00,1
22,C0128,Malinke-Jula,"The Julas, also known as the Dyula, Diula, Joola, or Juula, are one of the Manding-speaking ethnic groups of West Africa.  The Jula are a collection of peoples who today live in the northeastern and northern sections of Ivory Coast, in southwestern Burkina Faso, and across the border in Ghana, Guinea-Bissau, and Mali. Almost all Julas are Sunni Muslims. The Malinke-Jula people cluster includes several related people groups.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 257-258.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-06T00:00:00+00:00,1
23,C0133,Manchu,"The Manchu are an Altaic people who used to dominate Manchuria, in northeastern China. In 1611, they conquered the whole of China, and Manchu emperors ruled China as the Qing Dynasty until 1912. During those three centuries the Manchu were largely absorbed into the Han Chinese, though they have retained some of their cultural distinctions.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
24,C0134,Mande,"Mande refers to a large linguistic group in West Africa, also known as the Manding. The Manding languages are part of the larger Niger-Congo language family. Ethno-linguists divide the Mande into two large clusters, the Mande-tan and Mande-fu. The Mande-tan peoples are represented by the Malinke, Malinke-Bambara, and Malinke-Jula people cluster. The Mande-fu peoples are represented by the Mande people cluster. Major people groups included within this cluster are the Mende, Dan, Kpelle, Loko, Kono and Loma peoples. Ethno-religions are widely practiced among these people groups.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 366.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
25,C0146,Mongolian,"The Mongolians are an Altaic people. Most live in Mongolia or in northern China along a 3,000 kilometer arc of territory south of Mongolia. Nine other, smaller groups of Mongol peoples live scattered across China--remnants of the Mongol armies that conquered the land in the 13th Century. Mongol emperors ruled China from 1294 to 1420. Some Mongols live in Russia around Lake Baikal and in the Caspian area of Russian Europe.","-- Patrick Johnstone, The Future of the Global Church, p. 184",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
26,C0161,Omotic,"The Omotic peoples are a cluster of people groups living between the lakes of the Great Rift Valley and the Omo River in southern Ethiopia. Most of the Omotic peoples are hoe cultivators, raising ensete (a tropical plant in the banana family) at higher altitudes and other grains in the lowlands. They are also known for their animal husbandry and their skill as artisans.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 466",Patrick Johnstone,None,A004,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
27,C0164,Oromo,"The Oromo, who have also been known as the Galla, are a large ethnic cluster of peoples living from northeastern Ethiopia to east-central Kenya, as well as between the borders of Sudan and Somalia. Their language is part of the Eastern Cushitic branch of the Afro-Asiatic linguistic family. They are divided into numerous dialect subgroups but differences in dialect do not prevent the various Oromo groups from understanding one another. Sunni Islam is the most widely practiced religion.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 467",Patrick Johnstone,None,A004,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
28,C0198,Somali,"The Somalis are one of Africa's largest, homogeneous ethnic groups. They occupy the Horn of Africa, speak a single language, worship as Sunni Muslims of the Shafi school, and claim a common heritage. Although increasingly large numbers of Somalis live in such cities as Mogadishu, most of them remain in the countryside. Traditionally, the Somali economy revolved around nomadic animal husbandry, and today nearly two-thirds of all Somalis are still engaged in the production of camels, sheep, and goats. A number of tribal subgroups are included within the Somali people cluster.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), p. 529",Patrick Johnstone,None,A004,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
29,C0205,Susu,"The Susu are a major Mande ethnic group living primarily in Guinea. Smaller communities are located in the neighboring countries of Sierra Leone, Senegal, and Guinea-Bissau. The Susu live in farming villages along the marshy coastal plain. They converted to Islam in the 17th century. Today, the Susu are overwhelmingly Sunni Muslims of the Maliki school, although their religion retains a number of pre-Islamic indigenous practices.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 533-534.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-13T00:00:00+00:00,1
30,C0210,Taiwan Indigenous,"Some twenty indigenous tribes of Taiwan are that island's original inhabitants, having arrived from scattered Austronesian islands centuries before the first major Han Chinese immigration began in the 17th Century. They live in the mountains and along the eastern coast, maintaining distinct ethnic identities though typically speaking Chinese in addition to their native languages. Many of these tribes turned to Christ in people movements during the Japanese occupation of Taiwan from 1895 to 1945.","-- Patrick Johnstone, The Future of the Global Church, pp. 184-185",Patrick Johnstone,None,A002,2003-10-30T00:00:00+00:00,2012-04-26T00:00:00+00:00,1
31,C0211,Tajik,"The Tajiks are a Central Asian, Iranian-speaking people whose homeland, the Republic of Tajikistan, is bordered on the north by Kyrgyzstan, on the northeast by the Republic of Uzbekistan, on the east by China's Xinjiang Province, and on the south by Afghanistan. In addition to the majority Tajik people group, this people cluster includes several related people groups that speak languages classified as southeastern Iranian. A majority of Tajiks follow Sunni Islam of the Hanafi school, but several subgroups practice Shia Islam.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 611-619.",Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2012-09-17T00:00:00+00:00,1
32,C0212,Talysh,"The Talysh are a small ethic group whose roots trace to the Talysh Mountains in the southeastern Caucasus, along the border between Iran and Azerbaijan. They are concentrated along the southeastern shores of the Caspian Sea. Ethnologue classifies sixteen northwestern Iranian languages as Talysh. The Talysh people cluster encompasses the people groups who speak one of the Talysh languages. Shia Islam is the primary religion of most Talysh peoples.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 620-621.",Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2012-09-17T00:00:00+00:00,1
33,C0216,Tibetan,"Of the 90 million individuals who belong to the Tibetan family of peoples, most live as minorities in countries where they have no political power. Only in Bhutan and Myanmar do Tibetan peoples constitute a majority. Nevertheless, Tibetans and their Buddhist religion have a high profile worldwide.","-- Patrick Johnstone, The Future of the Global Church, p. 219",Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
34,C0225,Uyghur,"The Uyghurs are a Turkic people who today are concentrated in the Xinjiang Uyghur Autonomous Region of the People's Republic of China. Other Uyghurs live in Afghanistan, Pakistan, and India. Isolated subgroups of Tibetan Buddhist Uyghur still remain in China, but the vast majority of Uyghur are Sunni Muslims of the Hanafi school.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 668-671).",Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,2012-09-17T00:00:00+00:00,1
35,C0226,Uzbek,"The Uzbeks are the largest ethnic group in Uzbekistan, and they make up the largest Muslim community within the Commonwealth of Independent States (CIS), a regional organization of former Soviet Republics. Ethnologue identifies two Uzbek languages. Northern Uzbek is  spoken in Uzbekistan; Southern Uzbek is spoken in Afghanistan. In terms of religion, the great majority of Uzbeks are Sunni Muslims.","-- James S. Olson, An Ethnohistorical Dictionary of the Russian and Soviet Empires. Westport, Connecticut: Greenwood Press (1994), pp. 706-717).",Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,2012-09-17T00:00:00+00:00,1
36,C0233,Yoruba,"The Yoruba are a large ethnolinguistic group numbering more than twenty million people in Sierra Leone, Ghana, Benin, Togo, Niger, and Nigeria. The largest concentration is in Nigeria, where the Yoruba constitute the entire populations of the states of Ogun, Ondo, and Oyo. Numerous sub-groups of Yoruba are classified as distinct people groups within the Registry of Peoples. The Yoruba are believed to be a Sudanic people who migrated west and conquered the indigenous groups of Nigeria's forested southwestern coast.  The Yoruba religion is  a mixture of traditional religious practices that are thriving in West Africa today.","-- James S. Olson, The Peoples of Africa. London: Greenwood Press (1996), pp. 606-607.",Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-06-29T00:00:00+00:00,1
37,C0261,"Bantu, Central-Luba","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Luba are a major ethnic group of the Democratic Republic of Congo. The Luba Kingdom first appeared in the fifteenth century. It began to decline in the late nineteenth century due to the expansion of the Chokwe empire. The Central-Luba Bantu people cluster encompasses more than a dozen people groups, most of which are subgroups of the Luba.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 345-346.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
38,C0264,"Bantu, Central-Southwest","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Central-Southwest Bantu people cluster encompasses more than twenty ethnic groups primarily located in Angola and northern Namibia. The Umbundu of Angola dominate this cluster. Also known as Mbundu, the Umbundu comprise one-fourth of the population of Angola. Ethnohistorians believe the Mbundus arrived at their present location in the sixteenth century, migrating from central and east-central Africa.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). P. 387.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
39,C0266,"Bantu, Chewa-Sena","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Chewa-Sena Bantu people cluster encompasses more than a dozen ethnic groups dominated by the Chewa and Sena tribes. The Chewas are the largest ethnic group in Malawi and the third largest in Zambia. They trace their roots to the Kalonga Muzura state in the seventeenth century, when they were known as Maravi. The Sena are an ethnic group living in the far southern tip of Malawi and across the border in Mozambique. Their expansion into southern Malawi is a twentieth-century phenomenon, a migration that began after World War I.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 127, 514.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
40,C0268,"Bantu, Gikuyu-Kamba","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Gikuyu-Kamba Bantu people cluster encompasses more than a dozen ethnic or tribal people groups of which the two largest are the Kikuyu (Gikuyu), one of the main ethnic groups in Kenya located in the highlands north of Nairobi, and the Kamba, another of Kenya's primary ethnic groups located east of Nairobi, especially in the Machakos and Kitui districts in Eastern Province.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 268, 286.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
41,C0269,"Bantu, Kongo","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Kongos are the largest ethnic group in Democratic Republic of the Congo. Substantial numbers of Kongos also live in southern Congo and northern Angola near the Atlantic coast. During the late European Middle Ages, the Kongo established a powerful kingdom in central Africa. The state of Kongo existed south of the Zaire River by 1300; by 1500 there were other Kongo states--Loango, Ngoyo, and Kakongo--north of the river. The Kongos were not brought under European control until the early 1900s. It is the descendants of this Kongo kingdom that comprise the Kongo Bantu people cluster.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). P. 295.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
42,C0272,"Bantu, Shona","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Shona are a composite ethnic group and include several groups clustered together on the basis of cultural and linguistic associations. Historically, the Shona groups were attacked by the Ndebeles in the 1830s and 1840s, resulting in the loss of their lands and cattle herds. In 1896-1897, the Shonas joined the Ndebeles in a bloody and ultimately unsuccessful war against the British colonial administration. Today they can be found in Zimbabwe, Botswana, Mozambique, and Zambia.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 523-524.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
43,C0273,"Bantu, Sotho-Tswana","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Sotho-Tswana Bantu people cluster encompasses more than twenty people groups, all of which are related to the Sotho and Tswana ethnic groups. The Sothos (Basuto) are one of the largest ethnic groups in southern Africa. Most of the Sothos live in Lesotho, formerly Basutoland. The Sothos are subdivided into several large groups, based in political loyalties to a chiefdom. The Tswana, often referred to as the Western Sotho, are a large ethnic group living in Botswana, Namibia, and across the border in South Africa. The largest Tswana settlements are near water sources on the edge of the Kalahari Desert.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 534, 567.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
44,C0274,"Bantu, Southeastern","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Southeastern Bantu people cluster consists of a single ethnic group--the Venda of South Africa. Their homeland is located in northeastern Transvaal; there are also Venda living across the border in Zimbabwe. The Vendas were intricately involved with the Rozvi Kingdom, and their Bantu language is closely related to that of the Karanga of Zimbabwe. Some ethnolinguists classify their language as transitional between Sotho and Shona.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). P. 582.",Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
45,C0331,Gond,"The Gond are numerically the most dominant tribe of India. Their homeland extends from the Satpura range down to the Godavari, from Uttar Pradesh (Gonda district) and north Bihar to Andhra Pradesh, and from Maharashtra to Odisha. Though many still speak one of the Gondi languages, most are now bilingual speaking Hindi, Marathi or Telugu depending on their location. The Gonds have scheduled tribe status in most Indian states.","-- K. S. Singh, People of India, Volume III. The Scheduled Tribes. Delhi: Oxford University Press (1994), pp. 293-356",OMID,None,A012,2020-02-06T00:00:00+00:00,2021-06-17T00:00:00+00:00,1
46,C0344,Mallah,"The Mallah are the traditional boatmen and fishermen communities of India and Pakistan. They are also known as Nishad, Malso or Mallahi and include numerous subgroups such as Chain, Dhawa, and Kewat. Fishing is the primary occupation those some also pursue agriculture.  The Mallah are primarily Hindu but there are sizeable Muslim Mallah communities.","-- K. S. Singh, People of India, Volume V. India's Communities H-M. Delhi: Oxford University Press (1998), pp. 2164-2166",Jim Courson,None,A012,2022-03-10T00:00:00+00:00,2022-03-10T00:00:00+00:00,1
47,C0050,Bhil,"The Bhil are one of the largest indigenous tribes of India. They are found throughout western India but their largest concentrations are in southern Rajasthan, western Madhya Pradesh, Gujarat and northern Maharashtra. The Bhil language family includes nineteen languages, most spoken only by smaller sub-groups of Bhil. A majority of Bhil speak Hindi and practice Hinduism, though elements of their tribal religion still retain influence.","-- K. S. Singh, People of India, Volume IV. India's Communities A-G. Delhi: Oxford University Press (1998), pp. 428-439",Patrick Johnstone,Retired and replaced with C0330 South Asia Tribal - Bhil,A012,2003-10-30T00:00:00+00:00,2021-06-17T00:00:00+00:00,1
48,C0068,Ethio-Semitic,"The Ethio-Semitic people cluster encompasses groups primarily found in Ethiopia who are ethnically Semitic. These peoples probably migrated from Arabia millennia ago. Most live in the more densely populated highlands of Ethiopia and Eritrea. Most are Orthodox Christians. There are historical and biblical records going back over 4,000 years referring to the Ethiopians and Cush and Punt (probably inhabited by ancestors of the Somalis, Afar and Beja), with many trade links for spices, woods, slaves, etc.","-- Patrick Johnstone, The Future of the Global Church, p. 192",Patrick Johnstone,Changed from ""Ethiopian"" to ""Ethio-Semitic"" (JWC) … Includes EthnoCodes CMT34*,A004,2003-10-30T00:00:00+00:00,2011-04-18T00:00:00+00:00,1
49,C0080,Gond,"The Gond are numerically the most dominant tribe of India. Their homeland extends from the Satpura range down to the Godavari, from Uttar Pradesh (Gonda district) and north Bihar to Andhra Pradesh, and from Maharashtra to Odisha. Though many still speak one of the Gondi languages, most are now bilingual speaking Hindi, Marathi or Telugu depending on their location. The Gonds have scheduled tribe status in most Indian states.","-- K. S. Singh, People of India, Volume III. The Scheduled Tribes. Delhi: Oxford University Press (1994), pp. 293-356",Patrick Johnstone,Retired and replaced with C0331 South Asia Tribal - Gond 6/17/2021.,A012,2003-10-30T00:00:00+00:00,2021-06-17T00:00:00+00:00,1
50,C0259,"Bantu, Central-East","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Central-East Bantu people cluster encompasses a handful of Bantu ethnic groups primarily found in Tanzania. The largest groups are the Chagga, living on the slopes of Mt. Kilimanjaro in northeastern Tanzania, the Shambala, inhabiting the coastal lowlands of Tanzania, and the Pare, who live in the highlands and mountains of Tanzania.","-- James Olson, The Peoples of Africa: An Ethnohistorical Dictionary. Westport, Connecticut: Greenwood Press (1996). Pp. 124, 480, 518.",Patrick Johnstone,Olson refers to the Shambala as 'Shambaa',A013,2007-05-21T00:00:00+00:00,2012-06-05T00:00:00+00:00,1
