OBJECTID,ROP25,KinshipGroup,Description,ROP2,Status,AddDate,EditDate
17,309305,Sabbori,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
18,309306,Shifir,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
19,309307,Talasa,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
20,309309,Turuj,an indigenous Nuba Mountain people of Sudan,C0156,1,2023-08-14T00:00:00+00:00,2023-08-14T00:00:00+00:00
21,309365,Kalik,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
22,309367,Kasha,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
23,309368,Abu-Junuk,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
24,309369,Tabak,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
25,309370,Kaijen,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
26,309371,Mirisia Zuruk,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
27,309372,Kuwala,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
28,309373,Borogo,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
29,309374,Kenana,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00
30,309347,Arra,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
31,309348,Tasoomi,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
32,309349,Lamira,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
33,309350,Doloka,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
34,309351,Tata,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
35,309352,Sagolle,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
36,309353,Bindili,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
37,309354,Kurundi,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
38,309355,Kujriya,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
39,309356,Kudur,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
40,309357,Dalang,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
41,309358,Subei (Sudan),an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
42,309359,Hawazama,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
43,309360,Shawafna,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
44,309361,Borono,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
45,309362,Kauyaru,an indigenous Nuba Mountain people of Sudan,C0156,1,2024-01-10T00:00:00+00:00,2024-01-10T00:00:00+00:00
46,309325,"Bedouin, Nail",tribal nomadic Arabs indigenous to the Central Atlas region of Algeria between Biskra and Laguat,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
47,309326,"Bedouin, Laguat",tribal nomadic Arabs indigenous to the Algerian oases of Ain Madhi and Laguat,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
48,309327,"Bedouin, Sanusi",tribal nomadic Arabs indigenous to eastern Libya united by the Sanusiya political-religious movement,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
49,309328,"Bedouin, Arad",tribal nomadic Arabs indigenous to southern Tunisia,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
50,309329,"Bedouin, Berabish",tribal nomadic Arabs indigenous to the Sahara northwest of Timbuktu,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
51,309330,"Bedouin, Kunta",tribal nomadic Arabs indigenous to the Sahara northwest of Timbuktu,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
52,309331,"Bedouin, Chaamba",tribal nomadic Arabs indigenous to the Algerian Sahara between the Atlas Mountains and Tuareg country,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
53,309332,"Bedouin, Delim",tribal nomadic Arabs indigenous to Mauritania,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
54,309333,"Bedouin, Tajakant",tribal nomadic Arabs indigenous to northern Mauritania,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
55,309334,"Bedouin, Dui-Menia",tribal nomadic Arabs indigenous to southeastern Morocco and adjacent Algeria,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
56,309335,"Bedouin, Fezzan",tribal nomadic Arabs indigenous to the oases of Fezzan in Libya,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
57,309336,"Bedouin, Ziban",tribal nomadic Arabs indigenous to the oases of the Ziban and Zab Chergui districts of the Algerian Sahara,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
58,309337,"Bedouin, Kufra",tribal nomadic Arabs indigenous to the Libyan oases of Kufra and Wanyanga,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
59,309338,"Bedouin, Riyah",tribal nomadic Arabs indigenous to the desert region of western Libya,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
60,309339,"Bedouin, Ruarha",tribal nomadic Arabs indigenous to the northeastern Algerian Sahara,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
61,309340,"Bedouin, Sidi",tribal nomadic Arabs indigenous to the El Bayadh province of northern Algeria,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
62,309341,"Bedouin, Sirtican",tribal nomadic Arabs indigenous to the arid coast of Sirtica in Libya,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
63,309342,"Bedouin, Suafa",tribal nomadic Arabs indigenous to the northeastern Algerian Sahara,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
64,309343,"Bedouin, Gil",tribal nomadic Arabs indigenous to the steppe region of eastern Morocco,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
65,309344,"Bedouin, Arosien",tribal nomadic Arabs indigenous to northern Mauritania,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
66,309345,"Bedouin, Yahia",tribal nomadic Arabs indigenous to the valley of the lower Moulouya Reiver in eastern Morocco,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
67,309346,"Bedouin, Awlad Ali",tribal nomadic Arabs indigenous to Egypt's northwest coast,C0041,1,2023-12-20T00:00:00+00:00,2023-12-20T00:00:00+00:00
68,309385,Ho-Chunk,a federally recognized Native American tribe based in the U.S. state of Wisconsin,C0154,1,2024-06-25T00:00:00+00:00,2024-06-25T00:00:00+00:00
69,309386,Seminole,a federally recognized Native American tribe based in the U.S. state of Oklahoma,C0154,1,2024-06-25T00:00:00+00:00,2024-06-25T00:00:00+00:00
70,309387,Siletz,a federally recognized confederation of Native American tribes and bands inhabiting the Siletz Reservation in the U.S. state of Oregon,C0154,1,2024-06-26T00:00:00+00:00,2024-06-26T00:00:00+00:00
71,309388,Hualapai,a federally recognized Native American tribe based in the U.S. state of Arizona,C0154,1,2024-07-05T00:00:00+00:00,2024-07-05T00:00:00+00:00
72,309389,Chickahominy,a state and federally recognized Native American tribe based in the U.S. state of Virginia,C0154,1,2024-07-05T00:00:00+00:00,2024-07-05T00:00:00+00:00
73,309391,Peoria,a federally recognized Native American tribe based in the U.S. state of Oklahoma,C0154,1,2024-07-30T00:00:00+00:00,2024-07-30T00:00:00+00:00
74,309392,Umpqua,a federally recognized Native American tribe based in the U.S. state of Oregon,C0154,1,2024-07-31T00:00:00+00:00,2024-07-31T00:00:00+00:00
75,309393,Monacan,a state and federally recognized Native American tribe based in the U.S. state of Virginia,C0154,1,2024-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00
76,309394,Coquille,a federally recognized Native American tribe based in the U.S. state of Oregon,C0154,1,2024-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00
77,309395,Pequot,a federally recognized Native American tribe based in the U.S. state of Connecticut,C0154,1,2024-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00
78,309398,Kenaitze,a federally recognized Native American tribe based in the U.S. state of Alaska,C0154,1,2024-08-08T00:00:00+00:00,2024-08-08T00:00:00+00:00
79,309400,Havasupai,a federally recognized Native American tribe based in the U.S. state of Arizona,C0154,1,2024-08-19T00:00:00+00:00,2024-08-19T00:00:00+00:00
80,309401,Yavapai,a group of federally recognized Native American tribes based in the U.S. state of Arizona,C0154,1,2024-08-19T00:00:00+00:00,2024-08-19T00:00:00+00:00
81,309438,Rappahannock,"a federally and state-recognized Indigenous tribe in Virginia, descended from several Algonquian-speaking tribes that merged in the late 17th century",C0154,1,2025-10-17T00:00:00+00:00,2025-10-17T00:00:00+00:00
82,309439,Pamunkey,a federally and state-recognized Indigenous tribe in Virginia. One of the Algonquian-speaking peoples who were central to the Powhatan Confederacy,C0154,1,2025-10-17T00:00:00+00:00,2025-10-17T00:00:00+00:00
83,309440,Mattaponi,a state-recognized Indigenous tribe in Virginia. One of the original core tribes of the Powhatan Confederacy,C0154,1,2025-10-17T00:00:00+00:00,2025-10-17T00:00:00+00:00
84,309441,Nansemond,a Native American tribe indigenous to what is now southeastern Virginia,C0154,1,2025-10-28T00:00:00+00:00,2025-10-28T00:00:00+00:00
85,309142,Vaddar,an ethnocultural community of India,C0214,1,2021-08-23T00:00:00+00:00,2025-04-14T00:00:00+00:00
86,309203,Yashkun,a tribal community of India and Pakistan,C0107,1,2022-01-27T00:00:00+00:00,2025-04-14T00:00:00+00:00
87,309235,Mutali,an ethnocultural community of India. Tamil Nadu and Kerala,C0213,1,2022-03-23T00:00:00+00:00,2025-04-14T00:00:00+00:00
88,309238,Vaghri Koli,an ethnocultural community of Pakistan. Sindh province,C0192,1,2022-03-23T00:00:00+00:00,2025-04-14T00:00:00+00:00
89,309239,Thulukkan,an ethnocultural community of India,C0124,1,2022-03-23T00:00:00+00:00,2025-04-14T00:00:00+00:00
90,309240,Kurol,an ethnocultural community of India. West Bengal,C0053,1,2022-03-23T00:00:00+00:00,2025-04-14T00:00:00+00:00
91,309242,Majhi (Nepali),an ethnocultural community of Nepal,C0183,1,2022-03-24T00:00:00+00:00,2025-04-14T00:00:00+00:00
92,309244,Mana / Mani,an ethnocultural community of India,C0135,1,2022-03-25T00:00:00+00:00,2025-04-14T00:00:00+00:00
93,309246,Mussali,an ethnocultural community of Pakistan,C0183,1,2022-03-25T00:00:00+00:00,2025-04-14T00:00:00+00:00
94,309260,Nema,an ethnocultural community of India. Rajasthan and Madhya Pradesh,C0086,1,2022-05-06T00:00:00+00:00,2025-04-14T00:00:00+00:00
95,309269,Vellalan Mudaliar,an ethnocultural community of India. Tamil Nadu,C0124,1,2022-06-02T00:00:00+00:00,2025-04-14T00:00:00+00:00
96,309270,Vellalan Nanchilnattu,an ethnocultural community of India. Tamil Nadu,C0124,1,2022-06-02T00:00:00+00:00,2025-04-14T00:00:00+00:00
97,309271,Vellalan Virakodi,an ethnocultural community of India. Tamil Nadu,C0124,1,2022-06-02T00:00:00+00:00,2025-04-14T00:00:00+00:00
98,309272,Vellalan Sozhia,an ethnocultural community of India. Tamil Nadu,C0124,1,2022-06-02T00:00:00+00:00,2025-04-14T00:00:00+00:00
99,309405,Pohul,an ethnocultural community of India. Jammu and Kashmir,C0107,1,2024-09-04T00:00:00+00:00,2025-04-14T00:00:00+00:00
100,309406,Beldar Larhia,an ethnocultural subgroup of the Beldar community of India,C0135,1,2024-09-05T00:00:00+00:00,2025-04-14T00:00:00+00:00
101,309202,Kunbi Tribal,a tribal community of India; Goa,C0135,1,2022-01-25T00:00:00+00:00,2025-04-11T00:00:00+00:00
102,309206,Gangakula,an ethnocultural community of India. Karnataka,C0104,1,2022-01-28T00:00:00+00:00,2025-04-11T00:00:00+00:00
103,309209,Gandla / Ganuga,an ethnocultural community of India. Andhra Pradesh,C0214,1,2022-02-10T00:00:00+00:00,2025-04-11T00:00:00+00:00
104,309222,Jangam / Jangama,an ethnocultural community of India,C0091,1,2022-03-15T00:00:00+00:00,2025-04-11T00:00:00+00:00
105,309224,Vathiriyan,an ethnocultural community of India,C0213,1,2022-03-15T00:00:00+00:00,2025-04-11T00:00:00+00:00
106,309227,Punjab Bedar,a Dalit community of India,C0183,1,2022-03-15T00:00:00+00:00,2025-04-11T00:00:00+00:00
107,309231,Chidar,a Dalit community of India. Madhya Pradesh,C0091,1,2022-03-15T00:00:00+00:00,2025-04-11T00:00:00+00:00
108,309232,Devadiga Kalavant,a Dalit community of India,C0135,1,2022-03-15T00:00:00+00:00,2025-04-11T00:00:00+00:00
109,309236,Koli Son,an ethnocultural community of India,C0192,1,2022-03-23T00:00:00+00:00,2025-04-11T00:00:00+00:00
110,309241,Dandachatra Majhi,"an ethnocultural community of India. Odisha, West Bengal, and Bihar",C0163,1,2022-03-24T00:00:00+00:00,2025-04-11T00:00:00+00:00
111,309245,Dhatki Marwari,an ethnocultural community of Pakistan,C0186,1,2022-03-25T00:00:00+00:00,2025-04-11T00:00:00+00:00
112,309315,Gowda,an ethnocultural community of India. Karnataka,C0104,1,2023-10-26T00:00:00+00:00,2025-04-11T00:00:00+00:00
113,309425,Dangi,an agricultural Hindu caste native to northern India,C0091,1,2025-04-11T00:00:00+00:00,2025-04-11T00:00:00+00:00
114,309426,Gavli,an ethnocultural community of India. Gujarat,C0091,1,2025-04-11T00:00:00+00:00,2025-04-11T00:00:00+00:00
115,309281,Chaari,a peole of Nigeria. Bauchi and Plateau states,C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
116,309282,Dokshi,"a people of Nigeria. Bauchi state: Dass LGA, Lukshi district",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
117,309283,Dyarim,"a people of Nigeria. Bauchi state: Toro LGA, Toro district",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
118,309284,Daza (Nigeria),"a people of Nigeria. Bauchi state: Kirfi LGA, Bara district",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
119,309285,Ikhin-Aokho,"a people of Nigeria. Edo state: Owan East LGA, Ikhin and Aokho",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
120,309286,Lwel,"a people of Democratic Republic of the Congo. Kwilu province: Idiofa territory, Mateko and Sedzo sectors",C0262,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
121,309287,Dir-Nyamzak-Mbarimi,"a people of Nigeria. Bauchi state: Bauchi LGA, Miri district",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
122,309288,Rishiwa,a people of Nigeria. Kaduna state: Geshere LGA,C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
123,309289,Tulai,"a people of Nigeria. Bauchi state: Toro LGA, Toro district",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
124,309290,Beele,"a people of Nigeria. Bauchi state: Bauchi LGA, Birshi and Liman Katagum districts",C0062,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
125,309291,Matambwe,a people of Tanzania. Mtwara region: Masasi and Nanyumbu districts,C0262,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
126,309292,Minjungbal,a people of Australia. New South Wales state: Cape Byron,C0001,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
127,309293,Yilan Creole,a people of Taiwan. Yilan county,C0210,1,2023-04-06T00:00:00+00:00,2023-04-06T00:00:00+00:00
128,309210,"Jat (Jati, Jatu)",a people of Afghanistan,C0278,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
129,309211,Benamanga,a people of Tanzania,C0262,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
130,309213,Goo,a people of Cote d'Ivoire,C0134,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
131,309214,Imotong,a people of South Sudan,C0153,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
132,309216,Logir,a people of South Sudan,C0153,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
133,309217,Mbuk,a people of Cameroon,C0044,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
134,309218,Ndwewe,a people of Tanzania,C0262,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
135,309219,Okolie,a people of South Sudan,C0153,1,2022-03-02T00:00:00+00:00,2022-03-02T00:00:00+00:00
136,309141,Bakwe Pygmy,a people of Angola,C0184,1,2021-07-21T00:00:00+00:00,2021-07-21T00:00:00+00:00
137,309143,Dusun Witu,"a people of Indonesia. Central Kalimantan province, South Barito regency",C0152,1,2021-08-30T00:00:00+00:00,2021-08-30T00:00:00+00:00
138,309144,Dusun (Indonesia),a people of Indonesia Barito river area,C0037,1,2021-08-30T00:00:00+00:00,2022-02-08T00:00:00+00:00
139,309145,Gelao (Vietnam),a people of Vietnam,C0207,1,2021-08-30T00:00:00+00:00,2021-08-30T00:00:00+00:00
140,309146,Kintaq,a people of Malaysia and Thailand,C0230,1,2021-08-30T00:00:00+00:00,2022-05-06T00:00:00+00:00
141,309147,Bu (Nigeria),a people of Nigeria. Bauchi state: Toro LGA,C0062,1,2021-08-31T00:00:00+00:00,2022-02-01T00:00:00+00:00
142,309148,Bulu (Cameroon),a people of Cameroon,C0258,1,2021-08-31T00:00:00+00:00,2021-08-31T00:00:00+00:00
143,309149,Altai Uriankhai,a Mongol tribe around the Altai Mountains in western Mongolia and eastern Xinjiang,C0146,1,2021-08-31T00:00:00+00:00,2021-08-31T00:00:00+00:00
144,309150,Belize Mestizo,a people of mixed Spanish and Mayan descent in Belize,C0168,1,2021-08-31T00:00:00+00:00,2021-08-31T00:00:00+00:00
145,309151,Reunionese (Bantu),"a people of Reunion; East Africans, migrant workers, and descendants of Black African slaves",C0173,1,2021-08-31T00:00:00+00:00,2021-08-31T00:00:00+00:00
146,309152,Chinese-Tahitian,a people of mixed Chinese and Polynesian descent in French Polynesia,C0170,1,2021-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00
147,309153,Franco-Swiss,an ethnocultural community of French-speaking people of Swiss ancestry in Switzerland,C0280,1,2021-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00
148,309154,French-Icelandic Creole,a people of mixed French and Scandinavian descent in Iceland,C0190,1,2021-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00
149,309155,Swiss German,a cultural-linguistic community of Swiss German-speaking people indigenous to Switzerland,C0280,1,2021-09-01T00:00:00+00:00,2025-07-31T00:00:00+00:00
150,309156,"Amazigh, Kabyle",an Amazigh community indigenous to the Kabylia region of northern Algeria,C0046,1,2021-09-02T00:00:00+00:00,2024-09-27T00:00:00+00:00
151,309157,"Amazigh, Riffian",an Amazigh community indigenous to the Riff region of northern Morocco,C0047,1,2021-09-02T00:00:00+00:00,2024-09-27T00:00:00+00:00
152,309158,"Amazigh, Shawiya",an Amazigh community indigenous to the Aures Mountain region of eastern Algeria,C0048,1,2021-09-02T00:00:00+00:00,2024-09-27T00:00:00+00:00
153,309159,Finland Swedes,an ethnocultural community of Swedish-speaking Finns resulting from Swedish colonization in the 12th to 14th centuries,C0190,1,2021-09-02T00:00:00+00:00,2021-09-02T00:00:00+00:00
154,309160,Guianese Mulatto,a people of French Guiana with mixed African and French ancestry,C0337,1,2021-09-02T00:00:00+00:00,2021-09-02T00:00:00+00:00
155,309161,"Kongo, Tuba",a people of Democratic Republic of the Congo,C0260,1,2021-09-03T00:00:00+00:00,2021-09-03T00:00:00+00:00
156,309162,Konjo (Uganda),a people of Uganda. Ruwenzori mountain region,C0260,1,2021-09-03T00:00:00+00:00,2021-09-03T00:00:00+00:00
157,309163,Kuna (Mexico),a people of Mexico,C0165,1,2021-09-03T00:00:00+00:00,2021-09-03T00:00:00+00:00
158,309164,Kung (Cameroon),a people of Cameroon,C0044,1,2021-09-03T00:00:00+00:00,2021-09-03T00:00:00+00:00
159,309165,Lao Song,"a people of Thailand. Kanchanaburi, Nakhon Pathom, Nakhon Sawan, Phetchaburi, and Phitsanulok provinces",C0207,1,2021-09-03T00:00:00+00:00,2021-09-03T00:00:00+00:00
160,309166,Lela / Dakakari,a people of Nigeria. East Kebbi states,C0044,1,2021-09-03T00:00:00+00:00,2022-04-28T00:00:00+00:00
161,309167,Lunda (Mbundu),"a people of Angola. Bengo, Kuanza Norte and Malanje provinces",C0271,1,2021-09-08T00:00:00+00:00,2021-09-08T00:00:00+00:00
162,309168,Mexican Black,a people of Mexico of predominantly African descent,C0253,1,2021-09-08T00:00:00+00:00,2023-01-24T00:00:00+00:00
163,309169,Mexican,a people of Mexico of mixed European and Native American ancestry,C0093,1,2021-09-08T00:00:00+00:00,2023-01-19T00:00:00+00:00
164,309170,Biao,a people of China. Guangdong Province,C0207,1,2021-09-08T00:00:00+00:00,2021-09-08T00:00:00+00:00
165,309171,Mono (Congo),a people of the Democratic Republic of the Congo,C0203,1,2021-09-08T00:00:00+00:00,2021-09-08T00:00:00+00:00
166,309172,New Caledonian Javanese,"a people of New Caledonian ancestry, predominantly Javanease",C0101,1,2021-09-08T00:00:00+00:00,2021-09-08T00:00:00+00:00
167,309173,Nicaraguan Creole,a people of mixed African/Caribbean ancestry in Nicaragua,C0337,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
168,309174,Afro-Panamanian,an African heritage people of Panama,C0254,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
169,309176,Punan Batu,a people of Malaysia. Central Sarawak,C0230,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
170,309177,Rejang Kayan,"a people of Malaysia. Sarawak, Balui and Rejang river areas",C0123,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
171,309178,Abaknon,a people of the Philippines,C0070,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
172,309179,Seko Tengah,a people of Indonesia,C0056,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
173,309180,Jola-Lala,"a people of Senegal, a subgroup of the Serer people",C0025,1,2021-09-14T00:00:00+00:00,2021-09-14T00:00:00+00:00
174,309192,Tonocote / Tonokote,an aboriginal people inhabiting the provinces of Santiago del Estero and Tucumán in Argentina,C0185,1,2021-11-30T00:00:00+00:00,2021-11-30T00:00:00+00:00
175,309193,Bati (Indonesia),a people of Indonesia. Maluku province,C0130,1,2022-01-19T00:00:00+00:00,2022-01-19T00:00:00+00:00
176,309194,Indo-Fijian,a Fijian people of Indian ethnicity,C0069,1,2022-01-19T00:00:00+00:00,2022-01-19T00:00:00+00:00
177,309195,"Mon, Talaing",a people of Myanmar,C0147,1,2022-01-19T00:00:00+00:00,2022-01-19T00:00:00+00:00
178,309197,Paharia Santhali,a tribal community of India; a dialect subgroup of Santhali,C0148,1,2022-01-20T00:00:00+00:00,2022-01-20T00:00:00+00:00
179,309198,Rajput Garasia,"a tribal community of India; Rajasthan, Mewar Hills",C0050,1,2022-01-21T00:00:00+00:00,2025-04-09T00:00:00+00:00
180,309199,Mara Chin,a tribal community of India; Mizoram,C0145,1,2022-01-21T00:00:00+00:00,2021-07-20T00:00:00+00:00
181,309200,"Lodha, Savar",a tribal community of India; a subtribe of the Bhumij,C0148,1,2022-01-24T00:00:00+00:00,2022-01-24T00:00:00+00:00
182,309201,Bengali Tribal,a tribal community of Bangladesh,C0333,1,2022-01-25T00:00:00+00:00,2022-01-25T00:00:00+00:00
183,309204,Bogar (Bokar),a tribal community of India and China; part of the official Lhoba nationality in China,C0004,1,2022-01-28T00:00:00+00:00,2022-01-28T00:00:00+00:00
